study,outcome,id,sex,age,age_error,age_sd,age_lower,age_upper,resource,units,raw_return,raw_sd,raw_se,adult_return,adult_sd,adult_se,pooled,resource_cat,scaled_return,scaled_se
BliegeBird_1995,BliegeBird_1995_table3_average returns (kcal/observation day),BliegeBird_1995_table3_2,1,13,NA,NA,NA,NA,mixed,kcal/day,3750,NA,NA,NA,NA,NA,0,z,1,NA
BliegeBird_1995,BliegeBird_1995_table3_intertidal total weight (g/h),BliegeBird_1995_table3_3,1,12,NA,NA,NA,NA,shellfish,g/h,103.92609699769054,NA,NA,NA,NA,NA,0,fish_shellfish,0.24643722187799247,NA
BliegeBird_1995,BliegeBird_1995_table3_average returns (kcal/observation day),BliegeBird_1995_table3_3,1,12,NA,NA,NA,NA,mixed,kcal/day,950,NA,NA,NA,NA,NA,0,z,0.25333333333333335,NA
BliegeBird_1995,BliegeBird_1995_table3_intertidal total weight (g/h),BliegeBird_1995_table3_4,1,11,NA,NA,NA,NA,shellfish,g/h,357.98507462686564,NA,NA,NA,NA,NA,0,fish_shellfish,0.8488805970149252,NA
BliegeBird_1995,BliegeBird_1995_table3_fruit total weight (g/h),BliegeBird_1995_table3_4,1,11,NA,NA,NA,NA,fruit,g/h,1261.5384615384614,NA,NA,NA,NA,NA,0,fruit,0.3812242933403343,NA
BliegeBird_1995,BliegeBird_1995_table3_average returns (kcal/observation day),BliegeBird_1995_table3_4,1,11,NA,NA,NA,NA,mixed,kcal/day,704,NA,NA,NA,NA,NA,0,z,0.18773333333333334,NA
BliegeBird_1995,BliegeBird_1995_table3_intertidal total weight (g/h),BliegeBird_1995_table3_5,1,7,NA,NA,NA,NA,shellfish,g/h,187.33333333333334,NA,NA,NA,NA,NA,0,fish_shellfish,0.4442186088527552,NA
BliegeBird_1995,BliegeBird_1995_table3_fruit total weight (g/h),BliegeBird_1995_table3_5,1,7,NA,NA,NA,NA,fruit,g/h,204.70588235294116,NA,NA,NA,NA,NA,0,fruit,0.06186006825938566,NA
BliegeBird_1995,BliegeBird_1995_table3_eggs total weight (g/h),BliegeBird_1995_table3_5,1,7,NA,NA,NA,NA,eggs,g/h,517.2413793103448,NA,NA,NA,NA,NA,0,z,0.2216748768472906,NA
BliegeBird_1995,BliegeBird_1995_table3_average returns (kcal/observation day),BliegeBird_1995_table3_5,1,7,NA,NA,NA,NA,mixed,kcal/day,771,NA,NA,NA,NA,NA,0,z,0.2056,NA
BliegeBird_1995,BliegeBird_1995_table3_average returns (kcal/observation day),BliegeBird_1995_table3_6,1,9,NA,NA,NA,NA,mixed,kcal/day,495,NA,NA,NA,NA,NA,0,z,0.132,NA
BliegeBird_1995,BliegeBird_1995_table3_intertidal total weight (g/h),BliegeBird_1995_table3_7,1,6,NA,NA,NA,NA,shellfish,g/h,19.736842105263158,NA,NA,NA,NA,NA,0,fish_shellfish,0.04680145485665383,NA
BliegeBird_1995,BliegeBird_1995_table3_average returns (kcal/observation day),BliegeBird_1995_table3_7,1,6,NA,NA,NA,NA,mixed,kcal/day,20,NA,NA,NA,NA,NA,0,z,0.005333333333333333,NA
BliegeBird_1995,BliegeBird_1995_table3_intertidal total weight (g/h),BliegeBird_1995_table3_8,0,11,NA,NA,NA,NA,shellfish,g/h,421.7142857142857,NA,NA,NA,NA,NA,0,fish_shellfish,1,NA
BliegeBird_1995,BliegeBird_1995_table3_fruit total weight (g/h),BliegeBird_1995_table3_8,0,11,NA,NA,NA,NA,fruit,g/h,3309.176470588235,NA,NA,NA,NA,NA,0,fruit,1,NA
BliegeBird_1995,BliegeBird_1995_table3_eggs total weight (g/h),BliegeBird_1995_table3_8,0,11,NA,NA,NA,NA,eggs,g/h,0,NA,NA,NA,NA,NA,0,z,0,NA
BliegeBird_1995,BliegeBird_1995_table3_average returns (kcal/observation day),BliegeBird_1995_table3_8,0,11,NA,NA,NA,NA,mixed,kcal/day,1130,NA,NA,NA,NA,NA,0,z,0.30133333333333334,NA
BliegeBird_1995,BliegeBird_1995_table3_intertidal total weight (g/h),BliegeBird_1995_table3_9,0,10,NA,NA,NA,NA,shellfish,g/h,179.4186046511628,NA,NA,NA,NA,NA,0,fish_shellfish,0.4254506207852777,NA
BliegeBird_1995,BliegeBird_1995_table3_average returns (kcal/observation day),BliegeBird_1995_table3_9,0,10,NA,NA,NA,NA,mixed,kcal/day,655,NA,NA,NA,NA,NA,0,z,0.17466666666666666,NA
BliegeBird_1995,BliegeBird_1995_table3_fruit total weight (g/h),BliegeBird_1995_table3_10,0,7,NA,NA,NA,NA,fruit,g/h,964.4171779141104,NA,NA,NA,NA,NA,0,fruit,0.29143721602211103,NA
BliegeBird_1995,BliegeBird_1995_table3_average returns (kcal/observation day),BliegeBird_1995_table3_10,0,7,NA,NA,NA,NA,mixed,kcal/day,655,NA,NA,NA,NA,NA,0,z,0.17466666666666666,NA
BliegeBird_1995,BliegeBird_1995_table3_intertidal total weight (g/h),BliegeBird_1995_table3_11,0,6,NA,NA,NA,NA,shellfish,g/h,5.172413793103448,NA,NA,NA,NA,NA,0,fish_shellfish,0.012265208858985141,NA
BliegeBird_1995,BliegeBird_1995_table3_fruit total weight (g/h),BliegeBird_1995_table3_11,0,6,NA,NA,NA,NA,fruit,g/h,384.6153846153846,NA,NA,NA,NA,NA,0,fruit,0.11622691870132143,NA
BliegeBird_1995,BliegeBird_1995_table3_average returns (kcal/observation day),BliegeBird_1995_table3_11,0,6,NA,NA,NA,NA,mixed,kcal/day,125,NA,NA,NA,NA,NA,0,z,0.03333333333333333,NA
BliegeBird_1995,BliegeBird_1995_table3_fruit total weight (g/h),BliegeBird_1995_table3_12,0,3,NA,NA,NA,NA,fruit,g/h,630.7692307692307,NA,NA,NA,NA,NA,0,fruit,0.19061214667016715,NA
BliegeBird_1995,BliegeBird_1995_table3_average returns (kcal/observation day),BliegeBird_1995_table3_12,0,3,NA,NA,NA,NA,mixed,kcal/day,400,NA,NA,NA,NA,NA,0,z,0.10666666666666667,NA
BliegeBird_2002a,BliegeBird_2002a_fig1a,BliegeBird_2002a_fig1a_1,0.5,7.7461139896373155,NA,NA,NA,NA,fish,net kcal/hr,0,NA,NA,75.07002801120441,371.71335170753196,71.53626788990721,0,fish_shellfish,0,NA
BliegeBird_2002a,BliegeBird_2002a_fig1a,BliegeBird_2002a_fig1a_2,0.5,11.1139896373057,NA,NA,NA,NA,fish,net kcal/hr,0,NA,NA,75.07002801120441,371.71335170753196,71.53626788990721,0,fish_shellfish,0,NA
