"","study","outcome","id","sex","age","age_error","age_sd","age_lower","age_upper","resource","units","raw_return","raw_sd","adult_return","adult_sd","adult_se"
"34","Bird_2005","Bird_2005_fig6.2","Bird_2005_fig6.2_18","0.461538461538462",12,"none",NA,NA,NA,"game","kcal/h",445.714285714285,NA,1102.1,3164.68714883478,276.5
"35","Bird_2005","Bird_2005_fig6.2","Bird_2005_fig6.2_19","0.461538461538462",13,"none",NA,NA,NA,"game","kcal/h",497.142857142857,NA,1102.1,3164.68714883478,276.5
"36","Bird_2005","Bird_2005_fig6.2","Bird_2005_fig6.2_20","0.461538461538462",13,"none",NA,NA,NA,"game","kcal/h",334.285714285714,NA,1102.1,3164.68714883478,276.5
"37","Bird_2005","Bird_2005_fig6.2","Bird_2005_fig6.2_21","0.461538461538462",14,"none",NA,NA,NA,"game","kcal/h",728.571428571428,NA,1102.1,3164.68714883478,276.5
"38","Bird_2005","Bird_2005_fig6.2","Bird_2005_fig6.2_22","0.461538461538462",13,"none",NA,NA,NA,"game","kcal/h",851.428571428571,NA,1102.1,3164.68714883478,276.5
"39","BliegeBird_1995","BliegeBird_1995_table3_intertidal total weight (g/h)","BliegeBird_1995_table3_1","male",14,NA,NA,NA,NA,"shellfish","g/h",329.882352941176,NA,NA,NA,NA
"40","BliegeBird_1995","BliegeBird_1995_table3_eggs total weight (g/h)","BliegeBird_1995_table3_1","male",14,NA,NA,NA,NA,"eggs","g/h",0,NA,NA,NA,NA
"41","BliegeBird_1995","BliegeBird_1995_table3_average returns (kcal/observation day)","BliegeBird_1995_table3_1","male",14,NA,NA,NA,NA,"mixed","kcal/day",600,NA,NA,NA,NA
"42","BliegeBird_1995","BliegeBird_1995_table3_intertidal total weight (g/h)","BliegeBird_1995_table3_2","male",13,NA,NA,NA,NA,"shellfish","g/h",126.144578313253,NA,NA,NA,NA
"43","BliegeBird_1995","BliegeBird_1995_table3_fruit total weight (g/h)","BliegeBird_1995_table3_2","male",13,NA,NA,NA,NA,"fruit","g/h",1584,NA,NA,NA,NA
"44","BliegeBird_1995","BliegeBird_1995_table3_eggs total weight (g/h)","BliegeBird_1995_table3_2","male",13,NA,NA,NA,NA,"eggs","g/h",2333.33333333333,NA,NA,NA,NA
"45","BliegeBird_1995","BliegeBird_1995_table3_average returns (kcal/observation day)","BliegeBird_1995_table3_2","male",13,NA,NA,NA,NA,"mixed","kcal/day",3750,NA,NA,NA,NA
"46","BliegeBird_1995","BliegeBird_1995_table3_intertidal total weight (g/h)","BliegeBird_1995_table3_3","male",12,NA,NA,NA,NA,"shellfish","g/h",103.926096997691,NA,NA,NA,NA
"47","BliegeBird_1995","BliegeBird_1995_table3_average returns (kcal/observation day)","BliegeBird_1995_table3_3","male",12,NA,NA,NA,NA,"mixed","kcal/day",950,NA,NA,NA,NA
"48","BliegeBird_1995","BliegeBird_1995_table3_intertidal total weight (g/h)","BliegeBird_1995_table3_4","male",11,NA,NA,NA,NA,"shellfish","g/h",357.985074626866,NA,NA,NA,NA
"49","BliegeBird_1995","BliegeBird_1995_table3_fruit total weight (g/h)","BliegeBird_1995_table3_4","male",11,NA,NA,NA,NA,"fruit","g/h",1261.53846153846,NA,NA,NA,NA
"50","BliegeBird_1995","BliegeBird_1995_table3_average returns (kcal/observation day)","BliegeBird_1995_table3_4","male",11,NA,NA,NA,NA,"mixed","kcal/day",704,NA,NA,NA,NA
"51","BliegeBird_1995","BliegeBird_1995_table3_intertidal total weight (g/h)","BliegeBird_1995_table3_5","male",7,NA,NA,NA,NA,"shellfish","g/h",187.333333333333,NA,NA,NA,NA
"52","BliegeBird_1995","BliegeBird_1995_table3_fruit total weight (g/h)","BliegeBird_1995_table3_5","male",7,NA,NA,NA,NA,"fruit","g/h",204.705882352941,NA,NA,NA,NA
"53","BliegeBird_1995","BliegeBird_1995_table3_eggs total weight (g/h)","BliegeBird_1995_table3_5","male",7,NA,NA,NA,NA,"eggs","g/h",517.241379310345,NA,NA,NA,NA
"54","BliegeBird_1995","BliegeBird_1995_table3_average returns (kcal/observation day)","BliegeBird_1995_table3_5","male",7,NA,NA,NA,NA,"mixed","kcal/day",771,NA,NA,NA,NA
"55","BliegeBird_1995","BliegeBird_1995_table3_average returns (kcal/observation day)","BliegeBird_1995_table3_6","male",9,NA,NA,NA,NA,"mixed","kcal/day",495,NA,NA,NA,NA
"56","BliegeBird_1995","BliegeBird_1995_table3_intertidal total weight (g/h)","BliegeBird_1995_table3_7","male",6,NA,NA,NA,NA,"shellfish","g/h",19.7368421052632,NA,NA,NA,NA
"57","BliegeBird_1995","BliegeBird_1995_table3_average returns (kcal/observation day)","BliegeBird_1995_table3_7","male",6,NA,NA,NA,NA,"mixed","kcal/day",20,NA,NA,NA,NA
"58","BliegeBird_1995","BliegeBird_1995_table3_intertidal total weight (g/h)","BliegeBird_1995_table3_8","female",11,NA,NA,NA,NA,"shellfish","g/h",421.714285714286,NA,NA,NA,NA
"59","BliegeBird_1995","BliegeBird_1995_table3_fruit total weight (g/h)","BliegeBird_1995_table3_8","female",11,NA,NA,NA,NA,"fruit","g/h",3309.17647058824,NA,NA,NA,NA
"60","BliegeBird_1995","BliegeBird_1995_table3_eggs total weight (g/h)","BliegeBird_1995_table3_8","female",11,NA,NA,NA,NA,"eggs","g/h",0,NA,NA,NA,NA
"61","BliegeBird_1995","BliegeBird_1995_table3_average returns (kcal/observation day)","BliegeBird_1995_table3_8","female",11,NA,NA,NA,NA,"mixed","kcal/day",1130,NA,NA,NA,NA
