study,outcome,id,sex,age,age_error,age_sd,age_lower,age_upper,resource,units,raw_return,raw_sd,adult_return,adult_sd,adult_se
BlurtonJones_1989,BlurtonJones_1989_table2_tubers,BlurtonJones_1989_table2_22,both,15,NA,NA,NA,NA,tubers,g/h,589,NA,1400.6666666666667,309.6441890453038,79.9497858281575
BlurtonJones_1989,BlurtonJones_1989_table2_tubers,BlurtonJones_1989_table2_23,both,15,NA,NA,NA,NA,tubers,g/h,1022,NA,1400.6666666666667,309.6441890453038,79.9497858281575
BlurtonJones_1989,BlurtonJones_1989_table2_fruit,BlurtonJones_1989_table2_23,both,15,NA,NA,NA,NA,fruit,g/h,807,NA,1934,NA,NA
BlurtonJones_1989,BlurtonJones_1989_table2_tubers,BlurtonJones_1989_table2_24,both,14,NA,NA,NA,NA,tubers,g/h,1418,NA,1400.6666666666667,309.6441890453038,79.9497858281575
BlurtonJones_1989,BlurtonJones_1989_table2_tubers,BlurtonJones_1989_table2_25,both,15,NA,NA,NA,NA,tubers,g/h,797,NA,1400.6666666666667,309.6441890453038,79.9497858281575
BlurtonJones_1989,BlurtonJones_1989_table2_fruit,BlurtonJones_1989_table2_25,both,15,NA,NA,NA,NA,fruit,g/h,1357,NA,1934,NA,NA
BlurtonJones_1989,BlurtonJones_1989_table2_honey,BlurtonJones_1989_table2_26,both,17,NA,NA,NA,NA,honey,g/h,144,NA,NA,NA,NA
BlurtonJones_1989,BlurtonJones_1989_table2_fruit,BlurtonJones_1989_table2_26,both,17,NA,NA,NA,NA,fruit,g/h,1481,NA,1934,NA,NA
BlurtonJones_1989,BlurtonJones_1989_table2_honey,BlurtonJones_1989_table2_27,both,18,NA,NA,NA,NA,honey,g/h,190,NA,NA,NA,NA
BlurtonJones_1989,BlurtonJones_1989_table2_fruit,BlurtonJones_1989_table2_27,both,18,NA,NA,NA,NA,fruit,g/h,1481,NA,1934,NA,NA
