Age category,No. of foragers,Mean kcal/hr,s.d.,s.e.
A(5-9),3,87.051,96.469,55.708
B(10-13),8,375.156,248.506,123.215
C(14-29),5,268.284,250.809,112.165
D(30-50),14,481.203,474.566,126.833
E(51+),4,1840.343,955.529,477.764
