food,mean_girls,S.E._girls,n_girls,mean_women,S.E._women,n_women,mean_boys,S.E._boys,n_boys,mean_men,S.E._men,n_men,mean_children,S.E._children,n_children,mean_adults,S.E._adults,n_adults
Ondishibe,1547,208,4,2771,231,10,1505,528,2,NA,NA,NA,1533,19,6,2771,231,10
Tafabe,762,72,5,1281,93,14,1024,58,5,1156,93,6,893,62,10,1244,69,20
